x,y,channel,bit_index,payload_bit,byte_index
2599,0,B,15598,1,1949
2599,0,B,15599,0,1949
2600,0,R,15600,0,1950
2600,0,R,15601,1,1950
2600,0,G,15602,0,1950
2600,0,G,15603,1,1950
2600,0,B,15604,0,1950
2600,0,B,15605,0,1950
2601,0,R,15606,1,1950
2601,0,R,15607,0,1950
2601,0,G,15608,0,1951
2601,0,G,15609,0,1951
2601,0,B,15610,1,1951
2601,0,B,15611,0,1951
2602,0,R,15612,0,1951
2602,0,R,15613,1,1951
2602,0,G,15614,0,1951
2602,0,G,15615,1,1951
2602,0,B,15616,0,1952
2602,0,B,15617,1,1952
2603,0,R,15618,0,1952
2603,0,R,15619,1,1952
2603,0,G,15620,1,1952
2603,0,G,15621,1,1952
2603,0,B,15622,1,1952
2603,0,B,15623,0,1952
2604,0,R,15624,0,1953
2604,0,R,15625,0,1953
2604,0,G,15626,1,1953
2604,0,G,15627,1,1953
2604,0,B,15628,0,1953
2604,0,B,15629,0,1953
2605,0,R,15630,0,1953
2605,0,R,15631,0,1953
2605,0,G,15632,0,1954
2605,0,G,15633,1,1954
2605,0,B,15634,0,1954
2605,0,B,15635,1,1954
2606,0,R,15636,0,1954
2606,0,R,15637,1,1954
2606,0,G,15638,0,1954
2606,0,G,15639,1,1954
2606,0,B,15640,0,1955
2606,0,B,15641,0,1955
2607,0,R,15642,1,1955
2607,0,R,15643,1,1955
2607,0,G,15644,1,1955
2607,0,G,15645,0,1955
2607,0,B,15646,0,1955
2607,0,B,15647,0,1955
2608,0,R,15648,0,1956
2608,0,R,15649,0,1956
2608,0,G,15650,1,1956
2608,0,G,15651,0,1956
2608,0,B,15652,1,1956
2608,0,B,15653,1,1956
2609,0,R,15654,0,1956
2609,0,R,15655,1,1956
2609,0,G,15656,0,1957
2609,0,G,15657,0,1957
2609,0,B,15658,1,1957
2609,0,B,15659,1,1957
2610,0,R,15660,0,1957
2610,0,R,15661,0,1957
2610,0,G,15662,1,1957
2610,0,G,15663,0,1957
2610,0,B,15664,0,1958
2610,0,B,15665,1,1958
2611,0,R,15666,0,1958
2611,0,R,15667,1,1958
2611,0,G,15668,0,1958
2611,0,G,15669,0,1958
2611,0,B,15670,0,1958
2611,0,B,15671,0,1958
2612,0,R,15672,0,1959
2612,0,R,15673,1,1959
2612,0,G,15674,0,1959
2612,0,G,15675,1,1959
2612,0,B,15676,1,1959
2612,0,B,15677,1,1959
2613,0,R,15678,1,1959
2613,0,R,15679,1,1959
2613,0,G,15680,0,1960
2613,0,G,15681,1,1960
2613,0,B,15682,1,1960
2613,0,B,15683,0,1960
2614,0,R,15684,0,1960
