x,y,channel,bit_index,payload_bit,byte_index
88,0,R,264,0,33
88,0,G,265,0,33
88,0,B,266,1,33
89,0,R,267,0,33
89,0,G,268,0,33
89,0,B,269,0,33
90,0,R,270,1,33
90,0,G,271,0,33
90,0,B,272,0,34
91,0,R,273,0,34
91,0,G,274,1,34
91,0,B,275,0,34
92,0,R,276,1,34
92,0,G,277,1,34
92,0,B,278,0,34
93,0,R,279,0,34
93,0,G,280,0,35
93,0,B,281,0,35
94,0,R,282,1,35
94,0,G,283,0,35
94,0,B,284,0,35
95,0,R,285,0,35
95,0,G,286,0,35
95,0,B,287,0,35
96,0,R,288,0,36
96,0,G,289,0,36
96,0,B,290,1,36
97,0,R,291,0,36
97,0,G,292,0,36
97,0,B,293,0,36
98,0,R,294,1,36
98,0,G,295,0,36
98,0,B,296,0,37
99,0,R,297,1,37
99,0,G,298,1,37
99,0,B,299,1,37
100,0,R,300,0,37
100,0,G,301,0,37
100,0,B,302,0,37
101,0,R,303,0,37
101,0,G,304,0,38
101,0,B,305,1,38
102,0,R,306,1,38
102,0,G,307,0,38
102,0,B,308,0,38
103,0,R,309,0,38
103,0,G,310,0,38
103,0,B,311,1,38
104,0,R,312,0,39
104,0,G,313,1,39
104,0,B,314,1,39
105,0,R,315,1,39
105,0,G,316,1,39
105,0,B,317,0,39
106,0,R,318,0,39
106,0,G,319,1,39
106,0,B,320,0,40
107,0,R,321,1,40
107,0,G,322,1,40
107,0,B,323,0,40
108,0,R,324,1,40
108,0,G,325,1,40
108,0,B,326,0,40
109,0,R,327,0,40
109,0,G,328,0,41
109,0,B,329,1,41
110,0,R,330,1,41
110,0,G,331,0,41
110,0,B,332,1,41
111,0,R,333,1,41
111,0,G,334,1,41
111,0,B,335,1,41
112,0,R,336,0,42
112,0,G,337,1,42
112,0,B,338,1,42
113,0,R,339,0,42
113,0,G,340,0,42
113,0,B,341,0,42
114,0,R,342,0,42
114,0,G,343,1,42
114,0,B,344,0,43
115,0,R,345,1,43
115,0,G,346,1,43
115,0,B,347,0,43
116,0,R,348,0,43
116,0,G,349,1,43
116,0,B,350,0,43
117,0,R,351,0,43
117,0,G,352,0,44
117,0,B,353,1,44
118,0,R,354,0,44
118,0,G,355,1,44
118,0,B,356,1,44
119,0,R,357,1,44
119,0,G,358,1,44
119,0,B,359,1,44
120,0,R,360,0,45
120,0,G,361,1,45
120,0,B,362,1,45
121,0,R,363,1,45
121,0,G,364,0,45
121,0,B,365,1,45
122,0,R,366,0,45
122,0,G,367,0,45
122,0,B,368,0,46
123,0,R,369,1,46
123,0,G,370,1,46
123,0,B,371,1,46
124,0,R,372,1,46
124,0,G,373,0,46
124,0,B,374,0,46
125,0,R,375,1,46
125,0,G,376,0,47
125,0,B,377,1,47
126,0,R,378,1,47
126,0,G,379,1,47
126,0,B,380,0,47
127,0,R,381,0,47
127,0,G,382,0,47
127,0,B,383,0,47
128,0,R,384,0,48
128,0,G,385,1,48
128,0,B,386,1,48
129,0,R,387,0,48
129,0,G,388,0,48
129,0,B,389,1,48
130,0,R,390,0,48
130,0,G,391,1,48
130,0,B,392,0,49
131,0,R,393,0,49
131,0,G,394,1,49
131,0,B,395,0,49
132,0,R,396,0,49
132,0,G,397,0,49
132,0,B,398,1,49
133,0,R,399,0,49
133,0,G,400,0,50
133,0,B,401,0,50
134,0,R,402,1,50
134,0,G,403,1,50
134,0,B,404,1,50
135,0,R,405,0,50
135,0,G,406,1,50
135,0,B,407,0,50
136,0,R,408,0,51
136,0,G,409,0,51
136,0,B,410,1,51
137,0,R,411,0,51
137,0,G,412,0,51
137,0,B,413,0,51
138,0,R,414,0,51
138,0,G,415,0,51
138,0,B,416,0,52
139,0,R,417,0,52
139,0,G,418,1,52
139,0,B,419,0,52
140,0,R,420,0,52
140,0,G,421,0,52
140,0,B,422,1,52
141,0,R,423,0,52
141,0,G,424,0,53
141,0,B,425,1,53
142,0,R,426,1,53
142,0,G,427,1,53
142,0,B,428,0,53
143,0,R,429,0,53
143,0,G,430,0,53
143,0,B,431,0,53
144,0,R,432,0,54
144,0,G,433,1,54
144,0,B,434,1,54
145,0,R,435,0,54
145,0,G,436,0,54
145,0,B,437,1,54
146,0,R,438,0,54
146,0,G,439,0,54
146,0,B,440,0,55
147,0,R,441,1,55
147,0,G,442,1,55
147,0,B,443,0,55
148,0,R,444,0,55
148,0,G,445,1,55
148,0,B,446,1,55
149,0,R,447,0,55
149,0,G,448,0,56
149,0,B,449,0,56
150,0,R,450,1,56
150,0,G,451,0,56
150,0,B,452,0,56
151,0,R,453,0,56
151,0,G,454,1,56
151,0,B,455,0,56
152,0,R,456,0,57
152,0,G,457,0,57
152,0,B,458,1,57
153,0,R,459,0,57
153,0,G,460,1,57
153,0,B,461,1,57
154,0,R,462,0,57
154,0,G,463,0,57
154,0,B,464,0,58
155,0,R,465,0,58
155,0,G,466,1,58
155,0,B,467,0,58
156,0,R,468,0,58
156,0,G,469,0,58
156,0,B,470,0,58
157,0,R,471,0,58
157,0,G,472,0,59
157,0,B,473,0,59
158,0,R,474,1,59
158,0,G,475,0,59
158,0,B,476,0,59
159,0,R,477,0,59
159,0,G,478,1,59
159,0,B,479,0,59
160,0,R,480,0,60
160,0,G,481,1,60
160,0,B,482,1,60
161,0,R,483,0,60
161,0,G,484,0,60
161,0,B,485,1,60
162,0,R,486,1,60
162,0,G,487,0,60
162,0,B,488,0,61
163,0,R,489,1,61
163,0,G,490,1,61
163,0,B,491,0,61
164,0,R,492,1,61
164,0,G,493,0,61
164,0,B,494,0,61
165,0,R,495,1,61
165,0,G,496,0,62
165,0,B,497,1,62
166,0,R,498,1,62
166,0,G,499,0,62
166,0,B,500,1,62
167,0,R,501,1,62
167,0,G,502,0,62
167,0,B,503,0,62
168,0,R,504,0,63
168,0,G,505,1,63
168,0,B,506,1,63
169,0,R,507,0,63
169,0,G,508,0,63
169,0,B,509,1,63
170,0,R,510,0,63
170,0,G,511,1,63
170,0,B,512,0,64
171,0,R,513,1,64
171,0,G,514,1,64
171,0,B,515,0,64
172,0,R,516,1,64
172,0,G,517,1,64
172,0,B,518,1,64
173,0,R,519,0,64
173,0,G,520,0,65
173,0,B,521,1,65
174,0,R,522,1,65
174,0,G,523,0,65
174,0,B,524,0,65
175,0,R,525,0,65
175,0,G,526,0,65
175,0,B,527,1,65
176,0,R,528,0,66
176,0,G,529,1,66
176,0,B,530,1,66
177,0,R,531,0,66
177,0,G,532,1,66
177,0,B,533,1,66
178,0,R,534,0,66
178,0,G,535,1,66
178,0,B,536,0,67
179,0,R,537,1,67
179,0,G,538,1,67
179,0,B,539,0,67
180,0,R,540,0,67
180,0,G,541,1,67
180,0,B,542,0,67
181,0,R,543,1,67
181,0,G,544,0,68
181,0,B,545,0,68
182,0,R,546,1,68
182,0,G,547,0,68
182,0,B,548,0,68
183,0,R,549,0,68
183,0,G,550,1,68
183,0,B,551,0,68
184,0,R,552,0,69
184,0,G,553,0,69
184,0,B,554,1,69
185,0,R,555,1,69
185,0,G,556,1,69
185,0,B,557,0,69
186,0,R,558,1,69
186,0,G,559,0,69
186,0,B,560,0,70
187,0,R,561,0,70
187,0,G,562,1,70
187,0,B,563,0,70
188,0,R,564,0,70
188,0,G,565,0,70
188,0,B,566,0,70
189,0,R,567,0,70
189,0,G,568,0,71
189,0,B,569,0,71
190,0,R,570,1,71
190,0,G,571,0,71
190,0,B,572,0,71
191,0,R,573,0,71
191,0,G,574,1,71
191,0,B,575,0,71
192,0,R,576,0,72
192,0,G,577,1,72
192,0,B,578,1,72
193,0,R,579,1,72
193,0,G,580,0,72
193,0,B,581,0,72
194,0,R,582,1,72
194,0,G,583,0,72
194,0,B,584,0,73
195,0,R,585,1,73
195,0,G,586,1,73
195,0,B,587,0,73
196,0,R,588,0,73
196,0,G,589,1,73
196,0,B,590,0,73
197,0,R,591,1,73
197,0,G,592,0,74
197,0,B,593,1,74
198,0,R,594,1,74
198,0,G,595,1,74
198,0,B,596,0,74
199,0,R,597,0,74
199,0,G,598,0,74
199,0,B,599,0,74
200,0,R,600,0,75
200,0,G,601,1,75
200,0,B,602,1,75
201,0,R,603,0,75
201,0,G,604,1,75
201,0,B,605,1,75
202,0,R,606,1,75
202,0,G,607,1,75
202,0,B,608,0,76
203,0,R,609,1,76
203,0,G,610,1,76
203,0,B,611,1,76
204,0,R,612,0,76
204,0,G,613,0,76
204,0,B,614,1,76
205,0,R,615,0,76
205,0,G,616,0,77
205,0,B,617,1,77
206,0,R,618,1,77
206,0,G,619,1,77
206,0,B,620,0,77
207,0,R,621,1,77
207,0,G,622,0,77
207,0,B,623,0,77
208,0,R,624,0,78
208,0,G,625,1,78
208,0,B,626,1,78
209,0,R,627,0,78
209,0,G,628,0,78
209,0,B,629,1,78
210,0,R,630,0,78
210,0,G,631,1,78
210,0,B,632,0,79
211,0,R,633,1,79
211,0,G,634,0,79
211,0,B,635,1,79
212,0,R,636,1,79
212,0,G,637,1,79
212,0,B,638,1,79
213,0,R,639,1,79
213,0,G,640,0,80
213,0,B,641,0,80
214,0,R,642,1,80
214,0,G,643,1,80
214,0,B,644,0,80
215,0,R,645,0,80
215,0,G,646,1,80
215,0,B,647,0,80
216,0,R,648,0,81
216,0,G,649,0,81
216,0,B,650,1,81
217,0,R,651,1,81
217,0,G,652,0,81
217,0,B,653,1,81
218,0,R,654,1,81
218,0,G,655,1,81
218,0,B,656,0,82
219,0,R,657,1,82
219,0,G,658,1,82
219,0,B,659,0,82
220,0,R,660,0,82
220,0,G,661,1,82
220,0,B,662,0,82
221,0,R,663,0,82
221,0,G,664,0,83
221,0,B,665,0,83
222,0,R,666,1,83
222,0,G,667,1,83
222,0,B,668,1,83
223,0,R,669,0,83
223,0,G,670,0,83
223,0,B,671,1,83
224,0,R,672,0,84
224,0,G,673,0,84
224,0,B,674,1,84
225,0,R,675,1,84
225,0,G,676,1,84
225,0,B,677,0,84
226,0,R,678,0,84
226,0,G,679,0,84
226,0,B,680,0,85
227,0,R,681,1,85
227,0,G,682,1,85
227,0,B,683,0,85
228,0,R,684,0,85
228,0,G,685,0,85
228,0,B,686,1,85
229,0,R,687,0,85
229,0,G,688,0,86
229,0,B,689,0,86
230,0,R,690,1,86
230,0,G,691,1,86
230,0,B,692,0,86
231,0,R,693,0,86
231,0,G,694,0,86
231,0,B,695,1,86
232,0,R,696,0,87
232,0,G,697,1,87
232,0,B,698,1,87
233,0,R,699,0,87
233,0,G,700,0,87
233,0,B,701,0,87
234,0,R,702,1,87
234,0,G,703,1,87
234,0,B,704,0,88
235,0,R,705,0,88
235,0,G,706,1,88
235,0,B,707,0,88
236,0,R,708,1,88
236,0,G,709,1,88
236,0,B,710,1,88
237,0,R,711,0,88
237,0,G,712,0,89
237,0,B,713,1,89
238,0,R,714,1,89
238,0,G,715,1,89
238,0,B,716,0,89
239,0,R,717,0,89
239,0,G,718,0,89
239,0,B,719,0,89
240,0,R,720,0,90
240,0,G,721,1,90
240,0,B,722,1,90
241,0,R,723,0,90
241,0,G,724,0,90
241,0,B,725,1,90
242,0,R,726,0,90
242,0,G,727,0,90
242,0,B,728,0,91
243,0,R,729,1,91
243,0,G,730,1,91
243,0,B,731,0,91
244,0,R,732,0,91
244,0,G,733,1,91
244,0,B,734,1,91
245,0,R,735,0,91
245,0,G,736,0,92
245,0,B,737,0,92
246,0,R,738,1,92
246,0,G,739,0,92
246,0,B,740,0,92
247,0,R,741,0,92
247,0,G,742,1,92
247,0,B,743,0,92
248,0,R,744,0,93
248,0,G,745,0,93
248,0,B,746,1,93
249,0,R,747,0,93
249,0,G,748,1,93
249,0,B,749,1,93
250,0,R,750,0,93
250,0,G,751,0,93
250,0,B,752,0,94
251,0,R,753,0,94
251,0,G,754,1,94
251,0,B,755,0,94
252,0,R,756,0,94
252,0,G,757,0,94
252,0,B,758,0,94
253,0,R,759,0,94
253,0,G,760,0,95
253,0,B,761,0,95
254,0,R,762,1,95
254,0,G,763,0,95
254,0,B,764,0,95
255,0,R,765,0,95
255,0,G,766,1,95
255,0,B,767,0,95
256,0,R,768,0,96
256,0,G,769,1,96
256,0,B,770,1,96
257,0,R,771,0,96
257,0,G,772,1,96
257,0,B,773,1,96
258,0,R,774,0,96
258,0,G,775,1,96
258,0,B,776,0,97
259,0,R,777,1,97
259,0,G,778,1,97
259,0,B,779,0,97
260,0,R,780,1,97
260,0,G,781,0,97
260,0,B,782,0,97
261,0,R,783,1,97
261,0,G,784,0,98
261,0,B,785,1,98
262,0,R,786,1,98
262,0,G,787,0,98
262,0,B,788,1,98
263,0,R,789,1,98
263,0,G,790,0,98
263,0,B,791,1,98
264,0,R,792,0,99
264,0,G,793,1,99
264,0,B,794,1,99
265,0,R,795,0,99
265,0,G,796,0,99
265,0,B,797,1,99
266,0,R,798,0,99
266,0,G,799,1,99
266,0,B,800,0,100
267,0,R,801,1,100
267,0,G,802,0,100
267,0,B,803,1,100
268,0,R,804,1,100
268,0,G,805,1,100
268,0,B,806,1,100
269,0,R,807,1,100
269,0,G,808,0,101
269,0,B,809,1,101
270,0,R,810,1,101
270,0,G,811,1,101
270,0,B,812,0,101
271,0,R,813,1,101
271,0,G,814,0,101
271,0,B,815,0,101
272,0,R,816,0,102
272,0,G,817,1,102
272,0,B,818,1,102
273,0,R,819,1,102
273,0,G,820,1,102
273,0,B,821,0,102
274,0,R,822,0,102
274,0,G,823,1,102
274,0,B,824,0,103
275,0,R,825,1,103
275,0,G,826,1,103
275,0,B,827,1,103
276,0,R,828,0,103
276,0,G,829,0,103
276,0,B,830,0,103
277,0,R,831,0,103
277,0,G,832,0,104
277,0,B,833,1,104
278,0,R,834,1,104
278,0,G,835,0,104
278,0,B,836,0,104
279,0,R,837,1,104
279,0,G,838,0,104
279,0,B,839,1,104
280,0,R,840,0,105
280,0,G,841,0,105
280,0,B,842,1,105
281,0,R,843,0,105
281,0,G,844,0,105
281,0,B,845,0,105
282,0,R,846,1,105
282,0,G,847,0,105
282,0,B,848,0,106
283,0,R,849,0,106
283,0,G,850,1,106
283,0,B,851,1,106
284,0,R,852,1,106
284,0,G,853,0,106
284,0,B,854,1,106
285,0,R,855,0,106
285,0,G,856,0,107
285,0,B,857,0,107
286,0,R,858,1,107
286,0,G,859,0,107
286,0,B,860,0,107
287,0,R,861,0,107
287,0,G,862,0,107
287,0,B,863,0,107
288,0,R,864,0,108
288,0,G,865,0,108
288,0,B,866,1,108
289,0,R,867,0,108
289,0,G,868,0,108
289,0,B,869,0,108
290,0,R,870,1,108
290,0,G,871,0,108
290,0,B,872,0,109
291,0,R,873,1,109
291,0,G,874,1,109
291,0,B,875,0,109
292,0,R,876,0,109
292,0,G,877,0,109
292,0,B,878,0,109
293,0,R,879,1,109
293,0,G,880,0,110
293,0,B,881,1,110
294,0,R,882,1,110
294,0,G,883,1,110
294,0,B,884,0,110
295,0,R,885,0,110
295,0,G,886,0,110
295,0,B,887,0,110
296,0,R,888,0,111
296,0,G,889,1,111
296,0,B,890,1,111
297,0,R,891,1,111
297,0,G,892,0,111
297,0,B,893,0,111
298,0,R,894,0,111
298,0,G,895,0,111
298,0,B,896,0,112
299,0,R,897,1,112
299,0,G,898,1,112
299,0,B,899,0,112
300,0,R,900,1,112
300,0,G,901,1,112
300,0,B,902,0,112
301,0,R,903,0,112
301,0,G,904,0,113
301,0,B,905,1,113
302,0,R,906,1,113
302,0,G,907,0,113
302,0,B,908,1,113
303,0,R,909,0,113
303,0,G,910,0,113
303,0,B,911,1,113
304,0,R,912,0,114
304,0,G,913,1,114
304,0,B,914,1,114
305,0,R,915,0,114
305,0,G,916,0,114
305,0,B,917,0,114
306,0,R,918,1,114
306,0,G,919,1,114
306,0,B,920,0,115
307,0,R,921,1,115
307,0,G,922,1,115
307,0,B,923,0,115
308,0,R,924,0,115
308,0,G,925,0,115
308,0,B,926,0,115
309,0,R,927,1,115
309,0,G,928,0,116
309,0,B,929,1,116
310,0,R,930,1,116
310,0,G,931,1,116
310,0,B,932,0,116
311,0,R,933,1,116
311,0,G,934,0,116
311,0,B,935,0,116
312,0,R,936,0,117
312,0,G,937,1,117
312,0,B,938,1,117
313,0,R,939,0,117
313,0,G,940,1,117
313,0,B,941,0,117
314,0,R,942,0,117
314,0,G,943,1,117
314,0,B,944,0,118
315,0,R,945,1,118
315,0,G,946,1,118
315,0,B,947,0,118
316,0,R,948,1,118
316,0,G,949,1,118
316,0,B,950,1,118
317,0,R,951,1,118
317,0,G,952,0,119
317,0,B,953,1,119
318,0,R,954,1,119
318,0,G,955,0,119
318,0,B,956,1,119
319,0,R,957,1,119
319,0,G,958,1,119
319,0,B,959,0,119
320,0,R,960,0,120
320,0,G,961,0,120
320,0,B,962,1,120
321,0,R,963,0,120
321,0,G,964,1,120
321,0,B,965,1,120
322,0,R,966,1,120
322,0,G,967,1,120
322,0,B,968,0,121
323,0,R,969,1,121
323,0,G,970,1,121
323,0,B,971,1,121
324,0,R,972,0,121
324,0,G,973,0,121
324,0,B,974,0,121
325,0,R,975,0,121
325,0,G,976,0,122
325,0,B,977,1,122
326,0,R,978,1,122
326,0,G,979,0,122
326,0,B,980,0,122
327,0,R,981,1,122
327,0,G,982,0,122
327,0,B,983,0,122
328,0,R,984,0,123
328,0,G,985,1,123
328,0,B,986,1,123
329,0,R,987,0,123
329,0,G,988,0,123
329,0,B,989,1,123
330,0,R,990,1,123
330,0,G,991,0,123
330,0,B,992,0,124
331,0,R,993,0,124
331,0,G,994,1,124
331,0,B,995,0,124
332,0,R,996,0,124
332,0,G,997,0,124
332,0,B,998,1,124
333,0,R,999,0,124
333,0,G,1000,0,125
333,0,B,1001,0,125
334,0,R,1002,1,125
334,0,G,1003,0,125
334,0,B,1004,1,125
335,0,R,1005,1,125
335,0,G,1006,0,125
335,0,B,1007,0,125
336,0,R,1008,0,126
336,0,G,1009,0,126
336,0,B,1010,1,126
337,0,R,1011,0,126
337,0,G,1012,0,126
337,0,B,1013,0,126
338,0,R,1014,0,126
338,0,G,1015,0,126
338,0,B,1016,0,127
339,0,R,1017,0,127
339,0,G,1018,1,127
339,0,B,1019,0,127
340,0,R,1020,0,127
340,0,G,1021,0,127
340,0,B,1022,1,127
341,0,R,1023,0,127
341,0,G,1024,0,128
341,0,B,1025,1,128
342,0,R,1026,1,128
342,0,G,1027,1,128
342,0,B,1028,0,128
343,0,R,1029,0,128
343,0,G,1030,0,128
343,0,B,1031,0,128
344,0,R,1032,0,129
344,0,G,1033,1,129
344,0,B,1034,1,129
345,0,R,1035,0,129
345,0,G,1036,0,129
345,0,B,1037,0,129
346,0,R,1038,0,129
346,0,G,1039,1,129
346,0,B,1040,0,130
347,0,R,1041,1,130
347,0,G,1042,1,130
347,0,B,1043,1,130
348,0,R,1044,1,130
348,0,G,1045,0,130
348,0,B,1046,0,130
349,0,R,1047,1,130
349,0,G,1048,0,131
349,0,B,1049,1,131
350,0,R,1050,1,131
350,0,G,1051,0,131
350,0,B,1052,1,131
351,0,R,1053,1,131
351,0,G,1054,0,131
351,0,B,1055,0,131
352,0,R,1056,0,132
352,0,G,1057,1,132
352,0,B,1058,1,132
353,0,R,1059,0,132
353,0,G,1060,1,132
353,0,B,1061,1,132
354,0,R,1062,1,132
354,0,G,1063,1,132
354,0,B,1064,0,133
355,0,R,1065,1,133
355,0,G,1066,1,133
355,0,B,1067,0,133
356,0,R,1068,0,133
356,0,G,1069,0,133
356,0,B,1070,0,133
357,0,R,1071,1,133
357,0,G,1072,0,134
357,0,B,1073,1,134
358,0,R,1074,1,134
358,0,G,1075,0,134
358,0,B,1076,0,134
359,0,R,1077,1,134
